id	descendant
0000479	0000630
0000479	0000660
0000479	0001095
0000479	0001116
0000479	0001135
0000479	0001136
0000479	0001147
0000479	0001493
0000481	0000481
0000481	0000484
0000481	0000531
0000481	0000584
0000481	0001084
0000481	0001096
0000481	0001119
0000481	0001120
0000481	0001149
0000484	0000484
0000493	0000493
0000502	0000502
0000502	0000503
0000502	0001096
0000503	0000503
0000517	0000517
0000517	0001115
0000517	0001118
0000517	0001134
0000517	0001142
0000525	0000525
0000525	0000555
0000525	0000558
0000525	0001088
0000525	0001089
0000525	0001101
0000531	0000531
0000538	0000538
0000539	0000484
0000539	0000539
0000542	0000542
0000549	0000549
0000549	0000619
0000549	0001137
0000552	0000552
0000555	0000555
0000558	0000558
0000564	0000564
0000576	0000576
0000584	0000584
0000591	0000591
0000594	0000594
0000599	0000599
0000606	0000606
0000606	0000607
0000606	0001106
0000606	0002054
0000607	0000607
0000610	0000610
0000610	0001135
0000617	0000617
0000617	0001151
0000619	0000619
0000620	0000620
0000623	0000623
0000630	0000630
0000630	0001136
0000633	0000633
0000634	0000634
0000642	0000642
0000650	0000650
0000652	0000652
0000658	0000658
0000660	0000660
0000661	0000661
0000667	0000667
0000675	0000675
0000676	0000675
0000676	0000676
0000676	0000690
0000676	0001593
0000683	0000683
0000690	0000690
0000694	0000694
0000700	0000700
0000706	0000706
0000706	0001571
0000710	0000710
0000720	0000720
0000725	0000725
0000727	0000727
0000728	0000728
0000740	0000740
0000743	0000743
0000745	0000745
0000748	0000748
0000748	0000749
0000749	0000749
0000753	0000753
0000756	0000756
0000757	0000757
0000759	0000759
0000759	0000764
0000759	0001067
0000759	0001293
0000759	0001301
0000764	0000764
0000769	0000769
0000775	0000775
0000777	0000777
0000782	0000782
0000782	0000911
0000782	0000918
0000782	0001474
0000791	0000791
0000793	0000793
0000794	0000794
0000795	0000052
0000795	0000068
0000795	0000795
0000795	0000796
0000795	0000807
0000795	0000808
0000796	0000796
0000799	0000799
0000803	0000803
0000804	0000804
0000807	0000807
0000808	0000808
0000811	0000030
0000811	0000032
0000811	0000036
0000811	0000042
0000811	0000045
0000811	0000050
0000811	0000052
0000811	0000056
0000811	0000058
0000811	0000063
0000811	0000064
0000811	0000065
0000811	0000068
0000811	0000795
0000811	0000796
0000811	0000807
0000811	0000808
0000811	0000811
0000811	0001741
0000811	0002050
0000812	0000022
0000812	0000024
0000812	0000030
0000812	0000031
0000812	0000131
0000812	0000134
